matchId,teamId,laneOutcome,laneEventTimestampMs,laneEventTimestampMin,adc_kills,adc_deaths,support_kills,support_deaths,support_wardsPlaced,jungle_kills,jungle_deaths,team_hordeKills,team_dragonKills
KR_8350827668,200,WIN,931578,15.53,7,1,1,4,13,5,2,0,0
KR_8350761897,100,WIN,645108,10.75,5,4,1,4,5,3,1,0,0
KR_8350761897,200,LOSE,645108,10.75,2,4,2,2,10,6,2,3,1
KR_8350702056,100,LOSE,1018720,16.98,3,5,3,3,18,7,2,3,1
KR_8350702056,200,WIN,1018720,16.98,4,6,0,5,17,8,2,0,0
KR_8348631100,100,WIN,879321,14.66,1,4,3,3,11,8,1,1,1
KR_8348631100,200,LOSE,879321,14.66,2,0,3,2,22,2,4,2,0
KR_8347668508,100,WIN,793429,13.22,0,1,0,1,11,3,3,0,1
KR_8347668508,200,LOSE,793429,13.22,2,1,0,0,9,4,0,3,0
KR_8351860951,100,LOSE,628952,10.48,1,3,0,3,6,0,1,1,0
KR_8351860951,200,WIN,628952,10.48,2,0,3,1,1,2,1,0,0
KR_8351804965,100,LOSE,973984,16.23,6,4,4,3,12,7,0,2,2
KR_8351804965,200,WIN,973984,16.23,4,8,1,8,22,4,3,1,0
KR_8349070225,100,LOSE,701458,11.69,0,2,3,3,8,2,2,0,0
KR_8349070225,200,WIN,701458,11.69,2,4,3,1,7,2,1,3,0
KR_8347931877,100,WIN,1033547,17.23,2,1,0,0,23,3,2,3,0
KR_8347931877,200,LOSE,1033547,17.23,1,2,1,2,23,0,1,0,2
KR_8347908335,100,LOSE,731086,12.18,1,2,0,2,34,0,3,1,0
KR_8347908335,200,WIN,731086,12.18,3,1,2,0,14,1,0,2,1
KR_8346745910,100,WIN,958581,15.98,4,3,0,3,20,5,2,0,1
KR_8346745910,200,LOSE,958581,15.98,4,4,1,4,10,4,0,3,1
KR_8345589624,100,LOSE,885595,14.76,2,4,2,3,19,2,2,1,1
KR_8345589624,200,WIN,885595,14.76,4,0,1,4,15,2,0,2,1
KR_8343232194,100,WIN,824564,13.74,1,3,2,3,10,5,2,3,2
KR_8343232194,200,LOSE,824564,13.74,4,3,0,3,13,2,5,0,0
KR_8343154584,100,LOSE,673039,11.22,1,3,0,3,27,2,2,0,1
KR_8343154584,200,WIN,673039,11.22,3,1,1,0,9,2,0,3,0
KR_8343078857,100,WIN,688927,11.48,0,0,2,2,7,2,0,0,1
KR_8343078857,200,LOSE,688927,11.48,0,0,1,3,8,2,2,3,0
KR_8343002491,100,LOSE,976961,16.28,6,2,0,1,17,4,4,3,0
KR_8343002491,200,WIN,976961,16.28,1,4,1,2,32,1,4,0,2
KR_8342950277,100,LOSE,736734,12.28,5,5,1,1,10,5,4,3,0
KR_8342950277,200,WIN,736734,12.28,5,1,1,6,5,2,6,0,1
KR_8342879569,100,LOSE,888587,14.81,0,5,1,1,19,5,1,3,1
KR_8342879569,200,WIN,888587,14.81,4,0,1,3,15,3,3,0,1
KR_8342817817,100,LOSE,890869,14.85,3,4,0,2,20,5,0,3,0
KR_8342817817,200,WIN,890869,14.85,1,2,0,1,47,5,2,0,2
KR_8342765089,100,WIN,1068094,17.8,8,1,2,4,72,5,4,0,1
KR_8342765089,200,LOSE,1068094,17.8,3,6,5,8,20,3,4,3,1
KR_8342716906,100,WIN,683045,11.38,5,0,0,1,9,1,0,3,1
KR_8342716906,200,LOSE,683045,11.38,0,3,2,1,13,1,2,0,0
KR_8342656966,100,LOSE,1060244,17.67,3,1,2,0,18,5,1,3,0
KR_8342656966,200,WIN,1060244,17.67,1,2,2,3,61,1,3,0,2
KR_8355143717,100,WIN,914936,15.25,5,5,3,5,17,6,1,3,0
KR_8355143717,200,LOSE,914936,15.25,8,5,0,3,16,6,3,0,1
KR_8354117349,100,WIN,1004945,16.75,3,9,2,5,16,6,1,3,0
KR_8354117349,200,LOSE,1004945,16.75,9,4,6,5,17,3,2,0,1
KR_8354096592,100,LOSE,855556,14.26,0,3,0,7,14,3,2,1,0
KR_8354096592,200,WIN,855556,14.26,7,2,3,1,17,1,0,2,1
KR_8354069866,100,WIN,834705,13.91,5,1,2,1,17,2,1,1,0
KR_8354069866,200,LOSE,834705,13.91,1,2,0,3,13,1,2,2,1
KR_8352930855,100,WIN,822218,13.7,0,2,1,1,16,7,1,3,1
KR_8352930855,200,LOSE,822218,13.7,3,3,0,2,15,2,3,0,0
KR_8347470839,100,WIN,768651,12.81,4,5,1,1,43,3,0,0,1
KR_8347470839,200,LOSE,768651,12.81,3,4,4,4,9,1,2,3,0
KR_8352883674,100,LOSE,1117425,18.62,8,1,3,2,26,3,3,1,1
KR_8352883674,200,WIN,1117425,18.62,1,6,2,5,21,6,3,2,0
KR_8352825377,100,LOSE,799529,13.33,1,4,1,2,43,5,1,3,1
KR_8352825377,200,WIN,799529,13.33,4,2,1,1,10,3,3,0,1
KR_8352751854,100,LOSE,1010584,16.84,2,3,4,4,15,6,4,0,1
KR_8352751854,200,WIN,1010584,16.84,8,4,2,3,15,2,5,3,1
KR_8352003936,100,WIN,1131957,18.87,7,2,2,3,39,9,2,0,2
KR_8352003936,200,LOSE,1131957,18.87,2,7,3,4,22,3,5,3,0
KR_8351903966,100,WIN,779037,12.98,3,3,0,1,10,6,3,3,1
KR_8351903966,200,LOSE,779037,12.98,3,2,1,3,4,3,8,0,0
KR_8351535979,100,WIN,678906,11.32,6,0,0,1,5,4,2,2,1
KR_8351535979,200,LOSE,678906,11.32,2,4,0,4,10,1,2,1,0
KR_8351529308,100,LOSE,1026919,17.12,1,3,1,1,23,3,4,0,1
KR_8351529308,200,WIN,1026919,17.12,1,1,0,3,62,7,1,3,1
KR_8351496431,100,WIN,835862,13.93,0,1,1,0,16,4,2,2,1
KR_8351496431,200,LOSE,835862,13.93,0,1,0,2,14,1,2,1,0
KR_8351445185,100,WIN,892201,14.87,1,2,0,3,10,3,0,3,2
KR_8351445185,200,LOSE,892201,14.87,1,0,0,4,47,2,3,0,0
KR_8351063357,100,WIN,851868,14.2,4,4,0,2,12,3,2,1,0
KR_8351063357,200,LOSE,851868,14.2,3,2,1,3,10,4,1,2,1
KR_8350978218,100,WIN,946202,15.77,1,4,2,3,6,2,4,3,1
KR_8350978218,200,LOSE,946202,15.77,3,2,0,3,20,8,1,0,1
KR_8350871250,100,LOSE,836575,13.94,1,7,3,6,17,4,2,3,0
KR_8350871250,200,WIN,836575,13.94,2,5,7,2,14,5,1,0,2
KR_8350809347,100,WIN,1005076,16.75,2,3,1,2,16,1,2,1,2
KR_8350809347,200,LOSE,1005076,16.75,1,3,2,1,11,2,0,2,0
KR_8350735423,100,LOSE,1036033,17.27,4,2,2,8,20,1,3,3,1
KR_8350735423,200,WIN,1036033,17.27,5,4,1,2,27,4,0,0,1
KR_8350678499,100,LOSE,861560,14.36,2,5,0,1,15,4,1,0,0
KR_8350678499,200,WIN,861560,14.36,2,3,1,2,12,5,1,3,2
KR_8350621933,100,WIN,854562,14.24,7,0,0,0,13,6,0,3,1
KR_8350621933,200,LOSE,854562,14.24,1,5,0,3,11,0,3,0,0
KR_8350566412,100,LOSE,910182,15.17,3,6,1,7,15,2,0,3,1
KR_8350566412,200,WIN,910182,15.17,3,2,5,3,13,5,1,0,1
KR_8350494333,100,LOSE,882696,14.71,3,3,2,2,7,1,3,3,0
KR_8350494333,200,WIN,882696,14.71,1,4,1,1,13,6,2,0,1
KR_8350405366,100,WIN,700938,11.68,3,1,0,1,10,5,1,3,0
KR_8350405366,200,LOSE,700938,11.68,0,3,2,3,7,1,2,0,1
KR_8349236766,100,LOSE,964126,16.07,2,3,2,2,14,3,3,3,2
KR_8349236766,200,WIN,964126,16.07,2,2,2,0,19,6,4,0,0
KR_8349160550,100,WIN,913239,15.22,4,4,0,3,19,3,3,3,1
KR_8349160550,200,LOSE,913239,15.22,2,3,0,5,18,6,2,0,1
KR_8349104246,100,LOSE,837075,13.95,0,5,1,5,11,3,1,3,0
KR_8349104246,200,WIN,837075,13.95,5,2,2,1,21,5,2,0,1
KR_8348544966,100,WIN,1124043,18.73,3,7,2,5,31,5,2,3,1
KR_8348544966,200,LOSE,1124043,18.73,8,7,1,2,26,6,2,0,1
KR_8348502172,100,LOSE,911747,15.2,2,2,1,4,57,3,3,2,1
KR_8348502172,200,WIN,911747,15.2,4,3,1,2,22,5,4,1,0
KR_8352986657,100,LOSE,909812,15.16,3,5,2,3,15,0,4,0,1
KR_8352986657,200,WIN,909812,15.16,0,2,2,2,16,6,1,3,1
KR_8352951958,100,WIN,937716,15.63,2,3,0,5,17,3,2,2,2
KR_8352951958,200,LOSE,937716,15.63,5,1,1,3,18,4,2,1,0
KR_8349866048,100,WIN,969702,16.16,3,5,0,6,22,2,4,3,0
KR_8349866048,200,LOSE,969702,16.16,5,3,2,3,17,5,1,0,1
KR_8349768600,100,LOSE,932702,15.55,2,4,1,5,12,6,2,3,0
KR_8349768600,200,WIN,932702,15.55,7,3,4,0,16,1,5,0,1
KR_8349692884,100,WIN,1014342,16.91,1,1,2,1,60,0,3,3,1
KR_8349692884,200,LOSE,1014342,16.91,2,1,2,1,24,2,2,0,0
KR_8354835865,100,WIN,935943,15.6,4,3,1,2,12,6,1,1,1
KR_8354835865,200,LOSE,935943,15.6,0,5,1,2,21,5,2,2,1
KR_8351825608,100,LOSE,911294,15.19,2,1,0,1,15,4,2,3,1
KR_8351825608,200,WIN,911294,15.19,1,2,0,2,14,4,0,0,1
KR_8351778487,100,WIN,657807,10.96,6,3,3,0,2,3,1,3,1
KR_8351778487,200,LOSE,657807,10.96,1,5,1,4,9,2,2,0,0
KR_8350249693,100,WIN,704984,11.75,4,2,1,3,6,0,1,1,1
KR_8350249693,200,LOSE,704984,11.75,2,3,0,2,9,3,1,2,0
KR_8350221429,100,LOSE,705537,11.76,0,2,1,3,4,2,1,3,0
KR_8350221429,200,WIN,705537,11.76,1,0,2,2,5,2,0,0,0
KR_8350163257,100,WIN,946071,15.77,1,5,0,2,13,1,1,0,0
KR_8350163257,200,LOSE,946071,15.77,3,3,0,1,13,6,0,3,2
KR_8355188641,100,LOSE,984795,16.41,4,7,2,5,56,6,4,2,0
