matchId,teamId,win,laneEventTimestampMs,laneOutcome,adc_kills,adc_deaths,support_kills,support_deaths,jungle_kills,jungle_deaths,support_wardsPlaced,team_hordeKills,team_dragonKills,adc_masteryPoints,support_masteryPoints
KR_8342716906,200,False,683045,LOSE,0,3,2,1,1,2,13,0,0,1079305,62977
KR_8342656966,100,True,1060244,LOSE,3,1,2,0,5,1,18,3,0,594136,261681
KR_8342656966,200,False,1060244,WIN,1,2,2,3,1,3,61,0,2,360999,70480
KR_8355143717,100,False,914936,WIN,5,5,3,5,6,1,17,3,0,37003,2498772
KR_8355143717,200,True,914936,LOSE,8,5,0,3,6,3,16,0,1,642516,117874
KR_8354117349,100,False,1004945,WIN,3,9,2,5,6,1,16,3,0,16933,15933
KR_8354117349,200,True,1004945,LOSE,9,4,6,5,3,2,17,0,1,290424,645187
KR_8354096592,100,False,855556,LOSE,0,3,0,7,3,2,14,1,0,62097,112193
KR_8354096592,200,True,855556,WIN,7,2,3,1,1,0,17,2,1,401521,396040
KR_8354069866,100,True,834705,WIN,5,1,2,1,2,1,17,1,0,29513,132678
KR_8354069866,200,False,834705,LOSE,1,2,0,3,1,2,13,2,1,96841,146478
KR_8352930855,100,True,822218,WIN,0,2,1,1,7,1,16,3,1,44042,722307
KR_8352930855,200,False,822218,LOSE,3,3,0,2,2,3,15,0,0,29513,140314
KR_8347470839,100,True,768651,WIN,4,5,1,1,3,0,43,0,1,758620,88518
KR_8347470839,200,False,768651,LOSE,3,4,4,4,1,2,9,3,0,145007,506237
KR_8352883674,100,True,1117425,LOSE,8,1,3,2,3,3,26,1,1,1168539,16118
KR_8352883674,200,False,1117425,WIN,1,6,2,5,6,3,21,2,0,56427,71918
KR_8352825377,100,True,799529,LOSE,1,4,1,2,5,1,43,3,1,247301,417008
KR_8352825377,200,False,799529,WIN,4,2,1,1,3,3,10,0,1,99947,54490
KR_8352751854,100,True,1010584,LOSE,2,3,4,4,6,4,15,0,1,154062,46381
KR_8352751854,200,False,1010584,WIN,8,4,2,3,2,5,15,3,1,915061,255446
KR_8352003936,100,True,1131957,WIN,7,2,2,3,9,2,39,0,2,63311,13646
KR_8352003936,200,False,1131957,LOSE,2,7,3,4,3,5,22,3,0,34768,17372
KR_8351903966,100,True,779037,WIN,3,3,0,1,6,3,10,3,1,164689,27814
KR_8351903966,200,False,779037,LOSE,3,2,1,3,3,8,4,0,0,22876,22091
KR_8351535979,100,True,678906,WIN,6,0,0,1,4,2,5,2,1,43757,6103
KR_8351535979,200,False,678906,LOSE,2,4,0,4,1,2,10,1,0,112403,299255
KR_8351529308,100,False,1026919,LOSE,1,3,1,1,3,4,23,0,1,164689,33663
KR_8351529308,200,True,1026919,WIN,1,1,0,3,7,1,62,3,1,44335,417008
